课程名称（必填）,星期(1-7),开始节次,结束节次,教室地点,上课老师,周次
工程项目智慧管理,1,1,1,TM410,姚宇航,1-8周
工程项目智慧管理,1,1,1,TM410,姚宇航,9-12周
钢结构施工技术,1,2,2,TM403智慧教室,李厚萱,1-6周
建筑施工组织课程实训,1,2,2,TM403智慧教室,张志影,13周
计算机编程语言课程实训,1,2,2,TM机房2,赵宇,16-17周
建筑工程造价课程实训,1,3,3,TM408,刘玲,14-15周
装配式结构设计实训,1,3,3,TM410,常秋影,18周
工程项目智慧管理课程实训,1,3,3,TM408,姚宇航,19周
建筑施工,2,1,1,DX501,张志影,1-4周
智能建造概论,2,2,2,DX503,赵宇,1-6周
装配式建筑结构设计,2,4,4,TM408,李厚萱,7-12周
建筑施工,3,1,1,DX501,张志影,1-4周
建筑施工,3,1,1,DX501,张志影,5-12周
钢结构施工技术,3,2,2,DX510,李厚萱,1-6周
计算机编程语言课程实训,3,2,2,TM机房2,赵宇,16-17周
建筑工程造价,3,3,3,DX510,刘玲,1-6周
建筑工程造价课程实训,3,3,3,TM408,刘玲,14-15周
装配式结构设计实训,3,3,3,TM410,常秋影,18周
工程项目智慧管理课程实训,3,3,3,TM408,姚宇航,19周
工程项目智慧管理,3,4,4,TM410,姚宇航,1-8周
工程项目智慧管理,3,4,4,TM410,姚宇航,9-12周
建筑施工组织课程实训,3,4,4,TM403智慧教室,张志影,13周
智能建造概论,4,1,1,DX508,赵宇,1-6周
计算机编程语言,4,2,2,TM机房2,赵宇,1-6周
大学生就业指导,4,2,2,DX402,全丽红,11-12周
结构设计软件应用,4,3,3,TM机房2,路立娜,1-5周
工程项目智慧管理课程实训,4,3,3,TM408,姚宇航,19周
结构设计软件应用,4,4,4,TM机房2,路立娜,1-5周
工程项目智慧管理,4,4,4,TM410,姚宇航,9-12周
建筑施工,5,1,1,DX501,张志影,1-4周
建筑施工,5,1,1,DX501,张志影,5-12周
建筑工程造价,5,2,2,DX510,刘玲,1-6周
装配式建筑结构设计,5,2,2,TM408,李厚萱,7-12周
计算机编程语言课程实训,5,2,2,TM机房2,赵宇,16-17周
计算机编程语言,5,3,3,TM机房2,赵宇,1-6周
建筑工程造价课程实训,5,3,3,TM408,刘玲,14-15周
装配式结构设计实训,5,3,3,TM410,常秋影,18周
计算机编程语言,5,4,4,TM机房2,赵宇,1-6周
建筑施工组织课程实训,5,4,4,TM408,张志影,13周
建筑工程造价,6,1,1,TM机房2,鄢红,7-10周
建筑工程造价,6,2,2,TM机房2,鄢红,7-10周
